name,actual ,predict,accuracy,sensitivity,specificity,accuracy
GTP_cyclohydro2,73,73,1,1,0.97,0.97
HSF_DNA-bind,12,12,1,0.11,1,1
CoaE,148,148,1,0.33,1,1
ExbD,13,13,1,0.35,1,1
Bromodomain,31,31,1,0.38,1,1
SNARE_assoc,43,43,1,0.41,1,1
H2O2_YaaD,117,117,1,0.46,1,1
HSP20,72,72,1,0.46,1,1
DNA_primase_lrg,21,21,1,0.49,1,1
Peripla_BP_4,11,11,1,0.5,1,1
BPL_LplA_LipB,227,227,1,0.51,1,1
Seryl_tRNA_N,110,110,1,0.52,1,1
Fe_hyd_lg_C,32,32,1,0.52,1,1
Creatininase,11,11,1,0.52,1,1
Hist_deacetyl,21,21,1,0.52,1,1
PEP_mutase,19,19,1,0.55,1,1
Kdo,20,20,1,0.58,1,1
PmbA_TldD,13,13,1,0.6,1,1
Ribul_P_3_epim,19,19,1,0.6,1,1
MitMem_reg,31,31,1,0.61,1,1
PPV_E1_N,11,11,1,0.62,1,1
TBP,35,35,1,0.63,1,1
RabGAP-TBC,42,42,1,0.63,1,1
Fungal_trans,33,33,1,0.64,1,1
Lip_prot_lig_C,15,15,1,0.64,1,1
Autophagy_N,23,23,1,0.64,1,1
Kazal_1,25,25,1,0.65,1,1
eIF3_subunit,27,27,1,0.66,1,1
FA_hydroxylase,21,21,1,0.66,1,1
NLPC_P60,12,12,1,0.67,1,1
Beta_helix,17,17,1,0.67,1,1
SAF,14,14,1,0.68,1,1
SRF-TF,21,21,1,0.68,1,1
Urocanase_N,35,35,1,0.69,1,1
CTP-dep_RFKase,23,23,1,0.7,1,1
DNA_ligase_ZBD,17,17,1,0.71,1,1
HAMP,12,12,1,0.72,1,1
SeqA_N,12,12,1,0.72,1,1
PE,23,23,1,0.72,1,1
PEPcase,65,65,1,0.73,1,1
SNF,18,18,1,0.74,1,1
MTS_N,50,50,1,0.75,1,1
Peptidase_M35,25,25,1,0.75,1,1
Methyltransf_30,73,73,1,0.75,1,1
RuvA_C,46,46,1,0.76,1,1
Urm1,28,28,1,0.77,1,1
Capsid_NCLDV,11,11,1,0.78,1,1
IATP,12,12,1,0.79,1,1
zf-TRAF,20,20,1,0.79,1,1
DCD,16,16,1,0.8,1,1
Calc_CGRP_IAPP,24,24,1,0.81,1,1
Ham1p_like,37,37,1,0.81,1,1
zf-C2H2_6,51,51,1,0.82,1,1
DUF1445,48,48,1,0.83,1,1
PP2,19,19,1,0.83,1,1
Hat1_N,15,15,1,0.84,1,1
CHD5,40,40,1,0.85,1,1
MVIN,14,14,1,0.86,1,1
PI-PLC-Y,11,11,1,0.87,1,1
Rhabdo_ncap,10,10,1,0.88,1,1
Lactonase,16,16,1,0.88,1,1
PUNUT,11,11,1,0.88,1,1
CtaG_Cox11,16,16,1,0.88,1,1
Acyl-CoA_ox_N,11,11,1,0.88,1,1
PMG,10,10,1,0.88,1,1
DrsE,43,43,1,0.89,1,1
HEAT_PBS,13,13,1,0.9,1,1
TRAUB,11,11,1,0.9,1,1
VHS,27,27,1,0.9,1,1
Ins_P5_2-kin,12,12,1,0.9,1,1
Ribosomal_S21,98,98,1,0.9,1,1
7TM_GPCR_Sra,32,32,1,0.9,1,1
Gcd10p,12,12,1,0.91,1,1
D123,20,20,1,0.91,1,1
MinC_C,51,51,1,0.91,1,1
CbiM,34,34,1,0.91,1,1
Histidinol_dh,121,121,1,0.91,1,1
Yippee-Mis18,16,16,1,0.92,1,1
Ricin_B_lectin,24,24,1,0.92,1,1
Hox9_act,10,10,1,0.92,1,1
UxaC,42,42,1,0.92,1,1
VWA_2,16,16,1,0.92,1,1
7TM_GPCR_Srd,24,24,1,0.92,1,1
Gastrin,10,10,1,0.92,1,1
FlgH,72,72,1,0.93,1,1
Astacin,20,20,1,0.93,1,1
SPOUT_MTase,250,250,1,0.93,1,1
DUF2179,25,25,1,0.93,1,1
CbiN,10,10,1,0.93,1,1
Pkinase_C,20,20,1,0.93,1,1
NCD3G,10,10,1,0.93,1,1
HlyIII,16,16,1,0.93,1,1
IF-2B,175,175,1,0.93,1,1
Spermine_synth,33,33,1,0.94,1,1
oligo_HPY,28,28,1,0.94,1,1
NA37,24,24,1,0.94,1,1
RGS,35,35,1,0.94,1,1
UPF0004,348,348,1,0.94,1,1
Ribosomal_L16,211,211,1,0.94,1,1
CUE,22,22,1,0.94,1,1
TPR_16,28,28,1,0.95,1,1
HypA,87,87,1,0.95,1,1
Cys_knot,14,14,1,0.95,1,1
PDH,13,13,1,0.95,1,1
Thiolase_N,54,54,1,0.95,1,1
Guanylate_kin,174,174,1,0.95,1,1
Ribosomal_L7Ae,75,75,1,0.95,1,1
tRNA_deacylase,39,39,1,0.95,1,1
TRCF,12,12,1,0.95,1,1
Spermine_synt_N,58,58,1,0.95,1,1
Arrestin_C,13,13,1,0.95,1,1
Cpn10,163,163,1,0.95,1,1
p450,394,394,1,0.95,1,1
Cdc6_C,38,38,1,0.95,1,1
JAB,30,30,1,0.96,1,1
Actin,75,75,1,0.96,1,1
KH_2,144,144,1,0.96,1,1
AA_permease_2,65,65,1,0.96,1,1
Thymidylat_synt,171,171,1,0.96,1,1
IL10,13,13,1,0.96,1,1
zf-UBP,19,19,1,0.96,1,1
Glyco_hydro_16,31,31,1,0.96,1,1
Methyltransf_31,58,58,1,0.96,1,1
NTPase_I-T,27,27,1,0.96,1,1
HMG_CoA_synt_N,14,14,1,0.96,1,1
COG6,23,23,1,0.96,1,1
NST1,23,23,1,0.96,1,1
Complex1_30kDa,126,126,1,0.96,1,1
Tetraspannin,45,45,1,0.96,1,1
NIF,25,25,1,0.96,1,1
KTI12,12,12,1,0.97,1,1
Asparaginase_2,17,17,1,0.97,1,1
PolyA_pol_RNAbd,87,87,1,0.97,1,1
Ribosomal_S24e,40,40,1,0.97,1,1
Ribosomal_S8e,45,45,1,0.97,1,1
PPP4R2,10,10,1,0.97,1,1
NanE,38,38,1,0.97,1,1
GWT1,15,15,1,0.97,1,1
Toprim,88,88,1,0.97,1,1
Rhabdo_glycop,12,12,1,0.97,1,1
YqgF,13,13,1,0.97,1,1
Cation_efflux,22,22,1,0.97,1,1
Ribosomal_L12,50,50,1,0.97,1,1
4HFCP_synth,10,10,1,0.97,1,1
BEX,19,19,1,0.98,1,1
AIG1,19,19,1,0.98,1,1
Glyco_tranf_2_3,12,12,1,0.98,1,1
Glyco_hydro_2_N,26,26,1,0.98,1,1
CLASP_N,22,22,1,0.98,1,1
DnaJ_C,48,48,1,0.98,1,1
LHC,12,12,1,0.98,1,1
Glycos_transf_1,61,61,1,0.98,1,1
HSA,12,12,1,0.98,1,1
Exonuc_VII_L,47,47,1,0.98,1,1
Ribosomal_L2_C,207,206,1,0.98,1,1
HATPase_c_2,21,21,1,0.98,1,1
Glyco_hydro_19,14,14,1,0.98,1,1
LpoB,11,11,1,0.98,1,1
IML1,14,14,1,0.98,1,1
Glyco_transf_4,72,72,1,0.98,1,1
ribosomal_L24,262,262,1,0.98,1,1
FUR,14,14,1,0.98,1,1
STAS,32,32,1,0.98,1,1
NdhM,22,22,1,0.98,1,1
ALAD,21,21,1,0.98,1,1
RPE65,15,15,1,0.98,1,1
MaoC_dehydratas,10,10,1,0.98,1,1
Hydrolase_4,30,30,1,0.98,1,1
CSD,20,20,1,0.99,1,1
Dala_Dala_lig_N,277,277,1,0.99,1,1
IMS_HHH,72,72,1,0.99,1,1
Methyltransf_7,11,11,1,0.99,1,1
RraA-like,60,60,1,0.99,1,1
Ribosomal_L22,246,246,1,0.99,1,1
Sigma70_r3,19,19,1,0.99,1,1
cEGF,11,11,1,0.99,1,1
DUF493,33,33,1,0.99,1,1
DnaB_C,11,11,1,0.99,1,1
DUF2463,25,25,1,0.99,1,1
FAA_hydrolase,18,18,1,0.99,1,1
SMC_ScpB,48,48,1,0.99,1,1
NAT,27,27,1,0.99,1,1
PBS_linker_poly,13,13,1,0.99,1,1
Peptidase_S9,50,50,1,0.99,1,1
SpoVG,25,25,1,0.99,1,1
adh_short_C2,118,118,1,0.99,1,1
Mito_carr,221,221,1,0.99,1,1
Flavoprotein,35,35,1,0.99,1,1
Cupin_2,15,15,1,0.99,1,1
GED,15,15,1,0.99,1,1
Acetyltransf_3,14,14,1,0.99,1,1
CHCH,14,14,1,0.99,1,1
YqeY,11,11,1,0.99,1,1
XPG_N,94,94,1,0.99,1,1
AAA_23,33,33,1,0.99,1,1
PDZ_2,25,25,1,0.99,1,1
PTPA,24,24,1,0.99,1,1
SLH,10,10,1,0.99,1,1
Cytochrome_CBB3,29,29,1,0.99,1,1
AAA_5,14,14,1,0.99,1,1
Kelch_1,140,140,1,0.99,1,1
Ribosomal_L4,280,280,1,0.99,1,1
ClpS,61,61,1,0.99,1,1
NdhO,21,21,1,0.99,1,1
zf-C3HC4_4,22,22,1,0.99,1,1
SRP54,13,13,1,0.99,1,1
MA3,13,13,1,1,1,1
TIMELESS,10,10,1,1,1,1
Herpes_MCP,11,11,1,1,1,1
YabB,23,23,1,1,1,1
MHC_I,29,29,1,1,1,1
FtsK_SpoIIIE,28,28,1,1,1,1
JmjC,11,11,1,1,1,1
RNA_pol_A_bac,42,42,1,1,1,1
SPX,37,37,1,1,1,1
LppC,15,15,1,1,1,1
PBP_GOBP,10,10,1,1,1,1
TB2_DP1_HVA22,19,19,1,1,1,1
PrmA,216,215,1,1,1,1
HAD_2,84,84,1,1,1,1
PTS_IIB,24,24,1,1,1,1
Ecotin,18,18,1,1,1,1
UPF0231,19,19,1,1,1,1
EMP24_GP25L,27,27,1,1,1,1
XRN_N,13,13,1,1,1,1
PG_binding_1,43,43,1,1,1,1
Cytochrom_B_C,57,57,1,1,1,1
Motile_Sperm,16,16,1,1,1,1
GCHY-1,111,111,1,1,1,1
Fer4_12,22,22,1,1,1,1
KH_6,11,11,1,1,1,1
SNO,124,124,1,1,1,1
4HBT,48,48,1,1,1,1
Flavin_Reduct,32,32,1,1,1,1
Slu7,13,13,1,1,1,1
IFN-gamma,13,13,1,1,1,1
PQQ,12,12,1,1,1,1
Putative_PNPOx,168,168,1,1,1,1
RGI1,13,13,1,1,1,1
MAM,16,16,1,1,1,1
AceK,27,27,1,1,1,1
Sigma54_activat,27,27,1,1,1,1
DNA_pol_A,13,13,1,1,1,1
CoA_transf_3,13,13,1,1,1,1
EVE,15,15,1,1,1,1
zf-U11-48K,13,13,1,1,1,1
Ribosomal_S3Ae,53,53,1,1,1,1
Ribosomal_S4,52,52,1,1,1,1
LSM,50,50,1,1,1,1
Auxin_inducible,15,15,1,1,1,1
DUF711,33,33,1,1,1,1
Pup,30,30,1,1,1,1
Bac_export_2,12,12,1,1,1,1
Bac_export_3,10,10,1,1,1,1
Bac_export_1,11,11,1,1,1,1
RHD3,52,52,1,1,1,1
MRP-S25,20,20,1,1,1,1
Exo70,11,11,1,1,1,1
ZZ,11,11,1,1,1,1
GST_N_3,26,26,1,1,1,1
Peptidase_M24_C,23,23,1,1,1,1
MukB_hinge,11,11,1,1,1,1
3Beta_HSD,15,15,1,1,1,1
DUF99,20,20,1,1,1,1
S_locus_glycop,27,27,1,1,1,1
FliW,62,62,1,1,1,1
FliP,14,14,1,1,1,1
Dala_Dala_lig_C,27,27,1,1,1,1
UTP25,32,32,1,1,1,1
Galactosyl_T,20,20,1,1,1,1
Put_DNA-bind_N,33,33,1,1,1,1
HLH,59,59,1,1,1,1
FliE,55,55,1,1,1,1
Nro1,16,16,1,1,1,1
Glyco_hydro_10,16,16,1,1,1,1
GET2,15,15,1,1,1,1
PdxA,67,67,1,1,1,1
TPR_19,18,18,1,1,1,1
UPF0114,12,12,1,1,1,1
Ribosomal_S5_C,175,175,1,1,1,1
Cullin,23,23,1,1,1,1
FHIPEP,12,12,1,1,1,1
SET_assoc,11,11,1,1,1,1
Peptidase_M18,17,17,1,1,1,1
NUDIX,212,212,1,1,1,1
RmlD_sub_bind,10,10,1,1,1,1
MraZ,196,196,1,1,1,1
SQHop_cyclase_N,20,20,1,1,1,1
MerR,12,12,1,1,1,1
Phe_tRNA-synt_N,100,100,1,1,1,1
Tyr_Deacylase,233,233,1,1,1,1
Asparaginase,38,38,1,1,1,1
Peptidase_S51,16,16,1,1,1,1
DAGK_cat,41,41,1,1,1,1
RLI,14,14,1,1,1,1
YihI,19,19,1,1,1,1
Sortilin_C,43,43,1,1,1,1
Ferrochelatase,156,156,1,1,1,1
Neur_chan_LBD,13,13,1,1,1,1
KaiB,14,14,1,1,1,1
Porphobil_deam,15,15,1,1,1,1
Chromo,13,13,1,1,1,1
T2SSF,15,15,1,1,1,1
ATP-grasp,72,72,1,1,1,1
Abi,17,17,1,1,1,1
GCH_III,13,13,1,1,1,1
FTHFS,119,119,1,1,1,1
NMT1_2,13,13,1,1,1,1
Semialdhyde_dh,105,105,1,1,1,1
HTH_24,34,34,1,1,1,1
OTCace_N,374,373,1,1,1,1
YjeF_N,83,83,1,1,1,1
zf-C2H2_4,10,10,1,1,1,1
SufE,15,15,1,1,1,1
PPR_2,251,250,1,1,1,1
PPR_3,59,59,1,1,1,1
PPR_1,22,22,1,1,1,1
Peptidase_M14,40,40,1,1,1,1
Peptidase_M17,16,16,1,1,1,1
Keratin_B2_2,39,39,1,1,1,1
Peptidase_M10,14,14,1,1,1,1
Peptidase_M19,16,16,1,1,1,1
Pup_ligase,29,29,1,1,1,1
Glycos_transf_2,111,111,1,1,1,1
Glycos_transf_3,34,34,1,1,1,1
DALR_2,71,71,1,1,1,1
eIF-1a,96,96,1,1,1,1
2-Hacid_dh,17,17,1,1,1,1
Transglut_core,17,17,1,1,1,1
YdfA_immunity,20,20,1,1,1,1
HEAT,22,22,1,1,1,1
ANTH,10,10,1,1,1,1
VMA21,23,23,1,1,1,1
Arg_repressor_C,92,92,1,1,1,1
GyrI-like,14,14,1,1,1,1
ThiG,146,146,1,1,1,1
QueF,70,70,1,1,1,1
SAICAR_synt,205,205,1,1,1,1
DAO_C,11,11,1,1,1,1
RuBisCO_small,13,13,1,1,1,1
Rad50_zn_hook,10,10,1,1,1,1
RPN7,11,11,1,1,1,1
AP2,30,30,1,1,1,1
PLA2_B,15,15,1,1,1,1
Methyltr_RsmF_N,23,23,1,1,1,1
GCD14,10,10,1,1,1,1
Ribosomal_S6e,42,42,1,1,1,1
Methyltransf_9,67,67,1,1,1,1
Serinc,11,11,1,1,1,1
Methyltransf_4,241,241,1,1,1,1
Methyltransf_5,378,378,1,1,1,1
Methyltransf_3,21,21,1,1,1,1
KH_dom-like,20,20,1,1,1,1
PRD,14,14,1,1,1,1
tRNA-synt_His,405,403,1,1,1,1
PRC,24,24,1,1,1,1
Oxysterol_BP,21,21,1,1,1,1
HMG_box_2,11,11,1,1,1,1
PRK,130,130,1,1,1,1
TRAM_LAG1_CLN8,28,28,1,1,1,1
PagP,16,16,1,1,1,1
SAP,17,17,1,1,1,1
PRY,11,11,1,1,1,1
PEP-utilizers_C,12,12,1,1,1,1
Adap_comp_sub,10,10,1,1,1,1
Frag1,11,11,1,1,1,1
CHZ,15,15,1,1,1,1
zf-dskA_traR,10,10,1,1,1,1
DUF295,10,10,1,1,1,1
APH,98,98,1,1,1,1
DUF3603,10,10,1,1,1,1
CitG,18,18,1,1,1,1
Thioredoxin,127,127,1,1,1,1
DivIC,48,48,1,1,1,1
CxxCxxCC,40,40,1,1,1,1
Ribosomal_S9,167,167,1,1,1,1
Rot1,13,13,1,1,1,1
UreE_N,79,79,1,1,1,1
Lectin_legB,13,13,1,1,1,1
AIM24,19,19,1,1,1,1
CoA_binding,36,36,1,1,1,1
DUF697,15,15,1,1,1,1
Hexapep_2,28,28,1,1,1,1
PTS_EIIA_1,11,11,1,1,1,1
PTS_EIIA_2,20,20,1,1,1,1
Ribosomal_L33,193,193,1,1,1,1
PhaG_MnhG_YufB,10,10,1,1,1,1
Ribosomal_L31,214,214,1,1,1,1
Ribosomal_L30,218,218,1,1,1,1
TFIIS_M,12,12,1,1,1,1
Ribosomal_L36,120,120,1,1,1,1
TFIIS_C,14,14,1,1,1,1
HMA,42,42,1,1,1,1
APG9,16,16,1,1,1,1
APG5,23,23,1,1,1,1
YacG,51,51,1,1,1,1
Ribosomal_S6,225,225,1,1,1,1
Pterin_4a,120,120,1,1,1,1
GTP_cyclohydroI,96,96,1,1,1,1
Porphobil_deamC,214,213,1,1,1,1
Maelstrom,10,10,1,1,1,1
CsbD,45,45,1,1,1,1
Fer4_NifH,43,43,1,1,1,1
Urease_gamma,75,75,1,1,1,1
SSF,23,23,1,1,1,1
Rhomboid,25,25,1,1,1,1
DUF677,10,10,1,1,1,1
COX16,10,10,1,1,1,1
SSB,67,67,1,1,1,1
UPF0052,36,36,1,1,1,1
CorC_HlyC,12,12,1,1,1,1
AUX_IAA,41,41,1,1,1,1
IGPD,189,189,1,1,1,1
PTS_2-RNA,35,35,1,1,1,1
Dus,70,70,1,1,1,1
Psb28,25,25,1,1,1,1
DUF86,10,10,1,1,1,1
ATP-grasp_2,78,78,1,1,1,1
RMF,10,10,1,1,1,1
DUF2129,22,22,1,1,1,1
Glyco_tran_28_C,336,336,1,1,1,1
NTF2,12,12,1,1,1,1
Recep_L_domain,10,10,1,1,1,1
Sua5_yciO_yrdC,76,76,1,1,1,1
zf-MYND,26,26,1,1,1,1
TPMT,39,39,1,1,1,1
GOLGA2L5,13,13,1,1,1,1
Smr,60,60,1,1,1,1
Fe-S_biosyn,77,77,1,1,1,1
Coiled,52,52,1,1,1,1
HORMA,12,12,1,1,1,1
CodY,21,21,1,1,1,1
GFO_IDH_MocA,47,47,1,1,1,1
Bac_DnaA,18,18,1,1,1,1
